# wn[cm-1] real imag
1186.03 1.29611 3.4690e-02
1178.31 1.29440 3.4600e-02
1170.60 1.29258 3.4540e-02
1162.89 1.29067 3.4540e-02
1155.17 1.28870 3.4580e-02
1147.46 1.28664 3.4660e-02
1139.74 1.28451 3.4760e-02
1132.03 1.28226 3.4880e-02
1124.32 1.27989 3.5050e-02
1116.60 1.27739 3.5270e-02
1108.89 1.27474 3.5580e-02
1101.17 1.27196 3.5990e-02
