# wn[cm-1] real imag
1.3333e+02 1.8419 3.543e-01
1.3108e+02 1.8504 3.340e-01
1.2500e+02 1.8617 2.944e-01
1.2053e+02 1.8669 2.679e-01
1.1765e+02 1.8688 2.519e-01
1.1521e+02 1.8699 2.390e-01
1.1013e+02 1.8698 2.140e-01
1.0508e+02 1.8681 1.913e-01
1.0000e+02 1.8654 1.706e-01
8.3333e+01 1.8499 1.151e-01
6.2500e+01 1.8268 6.684e-02
4.7619e+01 1.8114 4.282e-02
3.3333e+01 1.7989 2.549e-02
2.0000e+01 1.7908 1.405e-02
7.6923e+00 1.7868 5.173e-03
2.0000e+00 1.7861 1.337e-03
5.2632e-01 1.7861 3.574e-04
2.5641e-01 1.7861 1.839e-04
1.6393e-01 1.7861 1.294e-04
1.1628e-01 1.7861 1.058e-04
9.0909e-02 1.7861 9.675e-05
7.1429e-02 1.7861 9.360e-05
5.5556e-02 1.7861 9.613e-05
4.1667e-02 1.7861 1.066e-04
2.9412e-02 1.7861 1.312e-04
1.8519e-02 1.7861 1.895e-04
1.0000e-02 1.7861 3.348e-04
5.0000e-03 1.7861 6.596e-04
